1603273800
XXO456789/0,06/0,06/0,06/0,06/0,92/0,06/0,06/0,06/0,06/2858655
XXO4567OX/0,06/0,06/0,06/0,06/0,47/0,06/0,07/0,06/0,07/222452
12XXX6OO9/0,05/0,05/0,05/0,05/0,05/0,05/0,05/0,05/0,64/287075
O2XXX6OOX/0,02/0,02/0,02/0,02/0,02/0,84/0,02/0,02/0,02/2359826
123X5OXXO/0,02/0,02/0,85/0,02/0,039647255/0,02/0,02/0,02/0,02/3429261
1O3XXOXXO/0,02/0,02/0,85/0,02/0,02/0,02/0,02/0,02/0,02/221931
123456XXO/0,1/0,1/0,92/0,11/0,11/0,11/0,11/0,11/0,11/21278729
12O4XX789/0,08/0,1/0,1/0,18/0,09/0,12/0,12/0,1/0,09/1110718
12O4XXO8X/0,1/0,1/0,1/0,2/0,1/0,1/0,1/0,01/0,1/573120
12X4O6XOX/0,01/0,05/0,01/0,01/0,01/0,89/0,01/0,01/0,01/4831602
OXOXO67XX/0,02/0,02/0,02/0,02/0,02/0,02/0,84/0,02/0,02/222442
1XOXO678X/0,02/0,02/0,02/0,02/0,02/0,02/0,92/0,02/0,02/921160
1XXOO6OXX/0,43/0,01/0,01/0,01/0,01/0,51/0,01/0,01/0,01/222519
1X34O678X/0,02/0,02/0,84/0,02/0,02/0,02/0,02/0,02/0,02/5715782
1XX4O6O8X/0,15/0,12/0,12/0,12/0,12/0,12/0,11/0,05/0,09/3428573
XO3O56X8X/0,02/0,02/0,02/0,02/0,84/0,02/0,02/0,02/0,02/221860
XO3O5OXXX/0,02/0,02/0,02/0,02/0,84/0,02/0,02/0,02/0,02/221260
XO3456X89/0,1/0,09/0,09/0,1/0,26/0,11/0,11/0,06/0,06/17154801
1X3O5X7XO/0,08/0,07/0,07/0,07/0,46/0,06/0,06/0,05/0,07/3432151
X2XOXX7OO/0,11/0,11/0,11/0,11/0,11/0,11/0,13/0,11/0,11/222222
X2XOX678O/0,06/0,15/0,1/0,14/0,14/0,1/0,1/0,11/0,08/221427
XOX45OXXO/0,12/0,12/0,12/0,06/0,06/0,13/0,12/0,13/0,12/2361054
XOX456789/0,17/0,17/0,17/0,07/0,07/0,08/0,08/0,08/0,08/17149277
XOX45O7X9/0,02/0,02/0,02/0,02/0,02/0,02/0,84/0,02/0,02/3430557
O2XXO6XOX/0,02/0,85/0,02/0,02/0,02/0,02/0,02/0,02/0,02/2361723
1O3X567X9/0,83/0,02/0,02/0,02/0,02/0,02/0,02/0,02/0,02/1111077
